param,value,instance,run,init_best,final_best,improvement,gens,evals
pm,0.4,protSet_1,0,-2680,1588,4268,862,50056
pm,0.4,protSet_1,1,-2692,1348,4040,862,50056
pm,0.4,protSet_1,2,-2618,1582,4200,862,50056
pm,0.4,protSet_1,3,-2669,1475,4144,862,50056
pm,0.4,protSet_1,4,-2739,1654,4393,862,50056
pm,0.4,protSet_1,5,-2705,1588,4293,862,50056
pm,0.4,protSet_1,6,-2473,1492,3965,862,50056
pm,0.4,protSet_1,7,-2664,1788,4452,862,50056
pm,0.4,protSet_1,8,-2677,1572,4249,862,50056
pm,0.4,protSet_1,9,-2532,1512,4044,862,50056
pm,0.4,protSet_2,0,-3255,1111,4366,862,50056
pm,0.4,protSet_2,1,-3296,1273,4569,862,50056
pm,0.4,protSet_2,2,-3275,1093,4368,862,50056
pm,0.4,protSet_2,3,-3196,1297,4493,862,50056
pm,0.4,protSet_2,4,-3251,939,4190,862,50056
pm,0.4,protSet_2,5,-3131,1275,4406,862,50056
pm,0.4,protSet_2,6,-3238,1334,4572,862,50056
pm,0.4,protSet_2,7,-3237,1305,4542,862,50056
pm,0.4,protSet_2,8,-3202,1214,4416,862,50056
pm,0.4,protSet_2,9,-3264,803,4067,862,50056
pm,0.4,protSet_3,0,-2870,1435,4305,862,50056
pm,0.4,protSet_3,1,-3099,1373,4472,862,50056
pm,0.4,protSet_3,2,-2805,1307,4112,862,50056
pm,0.4,protSet_3,3,-3166,1195,4361,862,50056
pm,0.4,protSet_3,4,-3006,1515,4521,862,50056
pm,0.4,protSet_3,5,-3135,1585,4720,862,50056
pm,0.4,protSet_3,6,-2963,1363,4326,862,50056
pm,0.4,protSet_3,7,-3063,1581,4644,862,50056
pm,0.4,protSet_3,8,-2956,1011,3967,862,50056
pm,0.4,protSet_3,9,-2913,1248,4161,862,50056
pm,0.4,protSet_4,0,-2875,1504,4379,862,50056
pm,0.4,protSet_4,1,-2887,1653,4540,862,50056
pm,0.4,protSet_4,2,-2883,1495,4378,862,50056
pm,0.4,protSet_4,3,-2918,989,3907,862,50056
pm,0.4,protSet_4,4,-2950,1493,4443,862,50056
pm,0.4,protSet_4,5,-2870,1643,4513,862,50056
pm,0.4,protSet_4,6,-2775,1137,3912,862,50056
pm,0.4,protSet_4,7,-2898,1486,4384,862,50056
pm,0.4,protSet_4,8,-2819,1686,4505,862,50056
pm,0.4,protSet_4,9,-2878,1675,4553,862,50056
pm,0.4,protSet_5,0,-2645,2221,4866,862,50056
pm,0.4,protSet_5,1,-2754,1640,4394,862,50056
pm,0.4,protSet_5,2,-2840,2250,5090,862,50056
pm,0.4,protSet_5,3,-2729,1863,4592,862,50056
pm,0.4,protSet_5,4,-2678,2141,4819,862,50056
pm,0.4,protSet_5,5,-2565,2009,4574,862,50056
pm,0.4,protSet_5,6,-2779,2221,5000,862,50056
pm,0.4,protSet_5,7,-2622,2210,4832,862,50056
pm,0.4,protSet_5,8,-2930,2331,5261,862,50056
pm,0.4,protSet_5,9,-2573,2244,4817,862,50056
pm,0.6,protSet_0,0,-2821,1287,4108,862,50056
pm,0.6,protSet_0,1,-2900,1165,4065,862,50056
pm,0.6,protSet_0,2,-2869,984,3853,862,50056
pm,0.6,protSet_0,3,-2956,1361,4317,862,50056
pm,0.6,protSet_0,4,-2886,1308,4194,862,50056
pm,0.6,protSet_0,5,-2876,990,3866,862,50056
pm,0.6,protSet_0,6,-3027,1351,4378,862,50056
pm,0.6,protSet_0,7,-2960,1360,4320,862,50056
pm,0.6,protSet_0,8,-2907,1312,4219,862,50056
pm,0.6,protSet_0,9,-2898,1333,4231,862,50056
pm,0.6,protSet_1,0,-2680,1522,4202,862,50056
pm,0.6,protSet_1,1,-2692,1691,4383,862,50056
pm,0.6,protSet_1,2,-2618,1646,4264,862,50056
pm,0.6,protSet_1,3,-2669,1726,4395,862,50056
pm,0.6,protSet_1,4,-2739,1802,4541,862,50056
pm,0.6,protSet_1,5,-2705,1675,4380,862,50056
pm,0.6,protSet_1,6,-2473,1629,4102,862,50056
pm,0.6,protSet_1,7,-2664,1654,4318,862,50056
pm,0.6,protSet_1,8,-2677,1559,4236,862,50056
pm,0.6,protSet_1,9,-2532,1747,4279,862,50056
pm,0.6,protSet_2,0,-3255,1207,4462,862,50056
pm,0.6,protSet_2,1,-3296,1234,4530,862,50056
pm,0.6,protSet_2,2,-3275,1309,4584,862,50056
pm,0.6,protSet_2,3,-3196,1223,4419,862,50056
pm,0.6,protSet_2,4,-3251,1186,4437,862,50056
pm,0.6,protSet_2,5,-3131,1160,4291,862,50056
pm,0.6,protSet_2,6,-3238,1040,4278,862,50056
pm,0.6,protSet_2,7,-3237,1300,4537,862,50056
pm,0.6,protSet_2,8,-3202,1219,4421,862,50056
pm,0.6,protSet_2,9,-3264,1150,4414,862,50056
pm,0.6,protSet_3,0,-2870,1201,4071,862,50056
pm,0.6,protSet_3,1,-3099,1719,4818,862,50056
pm,0.6,protSet_3,2,-2805,1068,3873,862,50056
pm,0.6,protSet_3,3,-3166,1284,4450,862,50056
pm,0.6,protSet_3,4,-3006,1486,4492,862,50056
pm,0.6,protSet_3,5,-3135,1253,4388,862,50056
pm,0.6,protSet_3,6,-2963,1206,4169,862,50056
pm,0.6,protSet_3,7,-3063,1221,4284,862,50056
pm,0.6,protSet_3,8,-2956,1404,4360,862,50056
pm,0.6,protSet_3,9,-2913,871,3784,862,50056
pm,0.6,protSet_4,0,-2875,1673,4548,862,50056
pm,0.6,protSet_4,1,-2887,1558,4445,862,50056
pm,0.6,protSet_4,2,-2883,1629,4512,862,50056
pm,0.6,protSet_4,3,-2918,1742,4660,862,50056
pm,0.6,protSet_4,4,-2950,1619,4569,862,50056
pm,0.6,protSet_4,5,-2870,1160,4030,862,50056
pm,0.6,protSet_4,6,-2775,1722,4497,862,50056
pm,0.6,protSet_4,7,-2898,1764,4662,862,50056
pm,0.6,protSet_4,8,-2819,1582,4401,862,50056
pm,0.6,protSet_4,9,-2878,1670,4548,862,50056
pm,0.6,protSet_5,0,-2645,1809,4454,862,50056
pm,0.6,protSet_5,1,-2754,2097,4851,862,50056
pm,0.6,protSet_5,2,-2840,2154,4994,862,50056
pm,0.6,protSet_5,3,-2729,2214,4943,862,50056
pm,0.6,protSet_5,4,-2678,2275,4953,862,50056
pm,0.6,protSet_5,5,-2565,2225,4790,862,50056
pm,0.6,protSet_5,6,-2779,2063,4842,862,50056
pm,0.6,protSet_5,7,-2622,2188,4810,862,50056
pm,0.6,protSet_5,8,-2930,2207,5137,862,50056
pm,0.6,protSet_5,9,-2573,2158,4731,862,50056
pm,0.8,protSet_0,0,-2821,1375,4196,862,50056
pm,0.8,protSet_0,1,-2900,1358,4258,862,50056
pm,0.8,protSet_0,2,-2869,1196,4065,862,50056
pm,0.8,protSet_0,3,-2956,1208,4164,862,50056
pm,0.8,protSet_0,4,-2886,1338,4224,862,50056
pm,0.8,protSet_0,5,-2876,1229,4105,862,50056
pm,0.8,protSet_0,6,-3027,1314,4341,862,50056
pm,0.8,protSet_0,7,-2960,1385,4345,862,50056
pm,0.8,protSet_0,8,-2907,1378,4285,862,50056
pm,0.8,protSet_0,9,-2898,1293,4191,862,50056
pm,0.8,protSet_1,0,-2680,1784,4464,862,50056
pm,0.8,protSet_1,1,-2692,1498,4190,862,50056
pm,0.8,protSet_1,2,-2618,1688,4306,862,50056
pm,0.8,protSet_1,3,-2669,1744,4413,862,50056
pm,0.8,protSet_1,4,-2739,1585,4324,862,50056
pm,0.8,protSet_1,5,-2705,1514,4219,862,50056
pm,0.8,protSet_1,6,-2473,1739,4212,862,50056
pm,0.8,protSet_1,7,-2664,1602,4266,862,50056
