param,value,instance,run,init_best,final_best,improvement,gens,evals
pc,0.6,tuneB_0,8,-598,162,760,689,40022
pc,0.6,tuneB_0,9,-626,143,769,689,40022
pc,0.6,tuneB_1,0,-577,128,705,689,40022
pc,0.6,tuneB_1,1,-514,-201,313,689,40022
pc,0.6,tuneB_1,2,-591,187,778,689,40022
pc,0.6,tuneB_1,3,-573,193,766,689,40022
pc,0.6,tuneB_1,4,-581,202,783,689,40022
pc,0.6,tuneB_1,5,-570,9,579,689,40022
pc,0.6,tuneB_1,6,-566,12,578,689,40022
pc,0.6,tuneB_1,7,-592,209,801,689,40022
pc,0.6,tuneB_1,8,-590,53,643,689,40022
pc,0.6,tuneB_1,9,-593,168,761,689,40022
pc,0.6,tuneB_2,0,-680,-13,667,689,40022
pc,0.6,tuneB_2,1,-672,-34,638,689,40022
pc,0.6,tuneB_2,2,-679,0,679,689,40022
pc,0.6,tuneB_2,3,-685,12,697,689,40022
pc,0.6,tuneB_2,4,-672,-9,663,689,40022
pc,0.6,tuneB_2,5,-678,-8,670,689,40022
pc,0.6,tuneB_2,6,-645,10,655,689,40022
pc,0.6,tuneB_2,7,-643,-29,614,689,40022
pc,0.6,tuneB_2,8,-668,-4,664,689,40022
pc,0.6,tuneB_2,9,-670,0,670,689,40022
pc,0.6,tuneC_0,0,-701,-181,520,689,40022
pc,0.6,tuneC_0,1,-673,-197,476,689,40022
pc,0.6,tuneC_0,2,-682,-179,503,689,40022
pc,0.6,tuneC_0,3,-646,-181,465,689,40022
pc,0.6,tuneC_0,4,-679,-184,495,689,40022
pc,0.6,tuneC_0,5,-690,-170,520,689,40022
pc,0.6,tuneC_0,6,-663,-180,483,689,40022
pc,0.6,tuneC_0,7,-683,-157,526,689,40022
pc,0.6,tuneC_0,8,-678,-173,505,689,40022
pc,0.6,tuneC_0,9,-684,-184,500,689,40022
pc,0.6,tuneC_1,0,-699,-158,541,689,40022
pc,0.6,tuneC_1,1,-682,-172,510,689,40022
pc,0.6,tuneC_1,2,-702,-176,526,689,40022
pc,0.6,tuneC_1,3,-688,-171,517,689,40022
pc,0.6,tuneC_1,4,-706,-182,524,689,40022
pc,0.6,tuneC_1,5,-704,-154,550,689,40022
pc,0.6,tuneC_1,6,-708,-162,546,689,40022
pc,0.6,tuneC_1,7,-660,-179,481,689,40022
pc,0.6,tuneC_1,8,-684,-171,513,689,40022
pc,0.6,tuneC_1,9,-685,-158,527,689,40022
pc,0.85,tuneA_0,0,-501,398,899,689,40022
pc,0.85,tuneA_0,1,-511,408,919,689,40022
pc,0.85,tuneA_0,2,-516,418,934,689,40022
pc,0.85,tuneA_0,3,-498,368,866,689,40022
