param,value,instance,run,init_best,final_best,improvement,gens,evals
pm,0.2,tuneA_2,7,-484,270,754,689,40022
pm,0.2,tuneA_2,8,-539,116,655,689,40022
pm,0.2,tuneA_2,9,-547,73,620,689,40022
pm,0.2,tuneB_0,0,-637,181,818,689,40022
pm,0.2,tuneB_0,1,-619,170,789,689,40022
pm,0.2,tuneB_0,2,-604,134,738,689,40022
pm,0.2,tuneB_0,3,-579,144,723,689,40022
pm,0.2,tuneB_0,4,-584,169,753,689,40022
pm,0.2,tuneB_0,5,-619,7,626,689,40022
pm,0.2,tuneB_0,6,-591,67,658,689,40022
pm,0.2,tuneB_0,7,-589,160,749,689,40022
pm,0.2,tuneB_0,8,-598,195,793,689,40022
pm,0.2,tuneB_0,9,-626,99,725,689,40022
pm,0.2,tuneB_1,0,-577,183,760,689,40022
pm,0.2,tuneB_1,1,-514,13,527,689,40022
pm,0.2,tuneB_1,2,-591,-137,454,689,40022
pm,0.2,tuneB_1,3,-573,-202,371,689,40022
pm,0.2,tuneB_1,4,-581,4,585,689,40022
pm,0.2,tuneB_1,5,-570,181,751,689,40022
pm,0.2,tuneB_1,6,-566,113,679,689,40022
pm,0.2,tuneB_1,7,-592,-77,515,689,40022
pm,0.2,tuneB_1,8,-590,54,644,689,40022
pm,0.2,tuneB_1,9,-593,86,679,689,40022
pm,0.2,tuneB_2,0,-680,-34,646,689,40022
pm,0.2,tuneB_2,1,-672,-16,656,689,40022
pm,0.2,tuneB_2,2,-679,11,690,689,40022
pm,0.2,tuneB_2,3,-685,55,740,689,40022
pm,0.2,tuneB_2,4,-672,-51,621,689,40022
pm,0.2,tuneB_2,5,-678,-138,540,689,40022
pm,0.2,tuneB_2,6,-645,47,692,689,40022
pm,0.2,tuneB_2,7,-643,-116,527,689,40022
pm,0.2,tuneB_2,8,-668,6,674,689,40022
pm,0.2,tuneB_2,9,-670,-3,667,689,40022
pm,0.2,tuneC_0,0,-701,-175,526,689,40022
pm,0.2,tuneC_0,1,-673,-334,339,689,40022
pm,0.2,tuneC_0,2,-682,-199,483,689,40022
pm,0.2,tuneC_0,3,-646,-202,444,689,40022
pm,0.2,tuneC_0,4,-679,-187,492,689,40022
pm,0.2,tuneC_0,5,-690,-185,505,689,40022
pm,0.2,tuneC_0,6,-663,-179,484,689,40022
pm,0.2,tuneC_0,7,-683,-176,507,689,40022
pm,0.2,tuneC_0,8,-678,-202,476,689,40022
pm,0.2,tuneC_0,9,-684,-179,505,689,40022
pm,0.2,tuneC_1,0,-699,-167,532,689,40022
pm,0.2,tuneC_1,1,-682,-188,494,689,40022
pm,0.2,tuneC_1,2,-702,-164,538,689,40022
pm,0.2,tuneC_1,3,-688,-172,516,689,40022
pm,0.2,tuneC_1,4,-706,-142,564,689,40022
pm,0.2,tuneC_1,5,-704,-169,535,689,40022
pm,0.2,tuneC_1,6,-708,-172,536,689,40022
pm,0.2,tuneC_1,7,-660,-170,490,689,40022
pm,0.2,tuneC_1,8,-684,-154,530,689,40022
