param,value,instance,run,init_best,final_best,improvement,gens,evals
pop,40,tuneC_1,8,-684,-140,544,1052,40016
pop,40,tuneC_1,9,-685,-165,520,1052,40016
pop,60,tuneA_0,0,-501,398,899,689,40022
pop,60,tuneA_0,1,-511,408,919,689,40022
pop,60,tuneA_0,2,-516,418,934,689,40022
pop,60,tuneA_0,3,-498,368,866,689,40022
pop,60,tuneA_0,4,-528,398,926,689,40022
pop,60,tuneA_0,5,-533,408,941,689,40022
pop,60,tuneA_0,6,-497,236,733,689,40022
pop,60,tuneA_0,7,-523,398,921,689,40022
pop,60,tuneA_0,8,-535,162,697,689,40022
pop,60,tuneA_0,9,-493,69,562,689,40022
pop,60,tuneA_1,0,-519,-45,474,689,40022
pop,60,tuneA_1,1,-487,352,839,689,40022
pop,60,tuneA_1,2,-537,362,899,689,40022
pop,60,tuneA_1,3,-559,245,804,689,40022
pop,60,tuneA_1,4,-501,226,727,689,40022
pop,60,tuneA_1,5,-514,266,780,689,40022
pop,60,tuneA_1,6,-518,344,862,689,40022
pop,60,tuneA_1,7,-550,261,811,689,40022
pop,60,tuneA_1,8,-494,285,779,689,40022
pop,60,tuneA_1,9,-530,341,871,689,40022
pop,60,tuneA_2,0,-562,311,873,689,40022
pop,60,tuneA_2,1,-523,393,916,689,40022
pop,60,tuneA_2,2,-532,155,687,689,40022
pop,60,tuneA_2,3,-525,335,860,689,40022
pop,60,tuneA_2,4,-527,32,559,689,40022
pop,60,tuneA_2,5,-558,-57,501,689,40022
pop,60,tuneA_2,6,-549,409,958,689,40022
pop,60,tuneA_2,7,-484,139,623,689,40022
pop,60,tuneA_2,8,-539,407,946,689,40022
pop,60,tuneA_2,9,-547,116,663,689,40022
pop,60,tuneB_0,0,-637,128,765,689,40022
pop,60,tuneB_0,1,-619,136,755,689,40022
pop,60,tuneB_0,2,-604,167,771,689,40022
pop,60,tuneB_0,3,-579,144,723,689,40022
pop,60,tuneB_0,4,-584,147,731,689,40022
pop,60,tuneB_0,5,-619,164,783,689,40022
pop,60,tuneB_0,6,-591,160,751,689,40022
pop,60,tuneB_0,7,-589,139,728,689,40022
pop,60,tuneB_0,8,-598,177,775,689,40022
pop,60,tuneB_0,9,-626,149,775,689,40022
pop,60,tuneB_1,0,-577,30,607,689,40022
pop,60,tuneB_1,1,-514,177,691,689,40022
pop,60,tuneB_1,2,-591,171,762,689,40022
pop,60,tuneB_1,3,-573,65,638,689,40022
pop,60,tuneB_1,4,-581,191,772,689,40022
pop,60,tuneB_1,5,-570,-41,529,689,40022
pop,60,tuneB_1,6,-566,141,707,689,40022
pop,60,tuneB_1,7,-592,145,737,689,40022
pop,60,tuneB_1,8,-590,175,765,689,40022
pop,60,tuneB_1,9,-593,172,765,689,40022
pop,60,tuneB_2,0,-680,-96,584,689,40022
pop,60,tuneB_2,1,-672,-46,626,689,40022
pop,60,tuneB_2,2,-679,-45,634,689,40022
pop,60,tuneB_2,3,-685,27,712,689,40022
pop,60,tuneB_2,4,-672,59,731,689,40022
pop,60,tuneB_2,5,-678,17,695,689,40022
pop,60,tuneB_2,6,-645,1,646,689,40022
pop,60,tuneB_2,7,-643,-37,606,689,40022
pop,60,tuneB_2,8,-668,-21,647,689,40022
pop,60,tuneB_2,9,-670,44,714,689,40022
pop,60,tuneC_0,0,-701,-182,519,689,40022
pop,60,tuneC_0,1,-673,-245,428,689,40022
pop,60,tuneC_0,2,-682,-189,493,689,40022
pop,60,tuneC_0,3,-646,-193,453,689,40022
pop,60,tuneC_0,4,-679,-169,510,689,40022
pop,60,tuneC_0,5,-690,-171,519,689,40022
pop,60,tuneC_0,6,-663,-189,474,689,40022
pop,60,tuneC_0,7,-683,-176,507,689,40022
pop,60,tuneC_0,8,-678,-185,493,689,40022
pop,60,tuneC_0,9,-684,-173,511,689,40022
pop,60,tuneC_1,0,-699,-172,527,689,40022
pop,60,tuneC_1,1,-682,-169,513,689,40022
pop,60,tuneC_1,2,-702,-160,542,689,40022
pop,60,tuneC_1,3,-688,-154,534,689,40022
pop,60,tuneC_1,4,-706,-133,573,689,40022
pop,60,tuneC_1,5,-704,-139,565,689,40022
pop,60,tuneC_1,6,-708,-163,545,689,40022
pop,60,tuneC_1,7,-660,-164,496,689,40022
pop,60,tuneC_1,8,-684,-167,517,689,40022
pop,60,tuneC_1,9,-685,-155,530,689,40022
pop,100,tuneA_0,0,-488,373,861,408,40084
pop,100,tuneA_0,1,-511,383,894,408,40084
pop,100,tuneA_0,2,-516,418,934,408,40084
pop,100,tuneA_0,3,-498,418,916,408,40084
pop,100,tuneA_0,4,-504,398,902,408,40084
pop,100,tuneA_0,5,-533,398,931,408,40084
pop,100,tuneA_0,6,-497,408,905,408,40084
pop,100,tuneA_0,7,-523,385,908,408,40084
pop,100,tuneA_0,8,-535,418,953,408,40084
pop,100,tuneA_0,9,-493,398,891,408,40084
pop,100,tuneA_1,0,-519,325,844,408,40084
pop,100,tuneA_1,1,-487,325,812,408,40084
pop,100,tuneA_1,2,-528,354,882,408,40084
pop,100,tuneA_1,3,-515,347,862,408,40084
pop,100,tuneA_1,4,-501,347,848,408,40084
pop,100,tuneA_1,5,-514,344,858,408,40084
pop,100,tuneA_1,6,-518,324,842,408,40084
pop,100,tuneA_1,7,-511,362,873,408,40084
pop,100,tuneA_1,8,-494,301,795,408,40084
pop,100,tuneA_1,9,-530,362,892,408,40084
pop,100,tuneA_2,0,-538,397,935,408,40084
pop,100,tuneA_2,1,-523,193,716,408,40084
pop,100,tuneA_2,2,-532,424,956,408,40084
pop,100,tuneA_2,3,-525,326,851,408,40084
pop,100,tuneA_2,4,-527,374,901,408,40084
pop,100,tuneA_2,5,-545,351,896,408,40084
pop,100,tuneA_2,6,-549,407,956,408,40084
pop,100,tuneA_2,7,-484,415,899,408,40084
pop,100,tuneA_2,8,-539,256,795,408,40084
pop,100,tuneA_2,9,-527,409,936,408,40084
pop,100,tuneB_0,0,-601,166,767,408,40084
pop,100,tuneB_0,1,-609,177,786,408,40084
pop,100,tuneB_0,2,-604,173,777,408,40084
pop,100,tuneB_0,3,-579,177,756,408,40084
pop,100,tuneB_0,4,-584,60,644,408,40084
pop,100,tuneB_0,5,-574,162,736,408,40084
pop,100,tuneB_0,6,-591,165,756,408,40084
pop,100,tuneB_0,7,-589,180,769,408,40084
pop,100,tuneB_0,8,-598,151,749,408,40084
pop,100,tuneB_0,9,-626,177,803,408,40084
pop,100,tuneB_1,0,-569,114,683,408,40084
pop,100,tuneB_1,1,-514,108,622,408,40084
pop,100,tuneB_1,2,-591,185,776,408,40084
pop,100,tuneB_1,3,-573,138,711,408,40084
pop,100,tuneB_1,4,-581,193,774,408,40084
pop,100,tuneB_1,5,-570,123,693,408,40084
