class,instance,run,init_best,final_best,improvement,evals
simHard,simHard_5,0,-699,-147,552,40022
simHard,simHard_5,1,-667,-128,539,40022
simHard,simHard_5,2,-675,-133,542,40022
simHard,simHard_5,3,-704,-130,574,40022
simHard,simHard_5,4,-700,-139,561,40022
simHard,simHard_5,5,-693,-161,532,40022
simHard,simHard_5,6,-689,-149,540,40022
simHard,simHard_5,7,-668,-173,495,40022
simHard,simHard_5,8,-667,-120,547,40022
simHard,simHard_5,9,-693,-148,545,40022
